"rules","support","confidence","coverage","lift","count"
"{curd,yogurt} => {whole milk}",0.0100660904931368,0.582352941176471,0.0172852058973055,2.27912502048173,99
"{other vegetables,butter} => {whole milk}",0.0114895780376207,0.573604060913706,0.0200305033045247,2.24488497377091,113
"{other vegetables,domestic eggs} => {whole milk}",0.0123029994916116,0.552511415525114,0.0222674123029995,2.16233576270971,121
"{yogurt,whipped/sour cream} => {whole milk}",0.0108795119471276,0.524509803921569,0.0207422470767666,2.05274728275711,107
"{other vegetables,whipped/sour cream} => {whole milk}",0.0146415861718353,0.507042253521127,0.0288764616166751,1.98438542116207,144
"{pip fruit,other vegetables} => {whole milk}",0.0135231316725979,0.517509727626459,0.026131164209456,2.02535144098935,133
"{citrus fruit,root vegetables} => {other vegetables}",0.0103711235383833,0.586206896551724,0.017691916624301,3.02960842227336,102
"{tropical fruit,root vegetables} => {other vegetables}",0.0123029994916116,0.584541062801932,0.0210472801220132,3.0209991343442,121
"{tropical fruit,root vegetables} => {whole milk}",0.011997966446365,0.570048309178744,0.0210472801220132,2.23096900945999,118
"{tropical fruit,yogurt} => {whole milk}",0.0151499745805796,0.517361111111111,0.0292831723436706,2.02476980810894,149
"{root vegetables,yogurt} => {other vegetables}",0.0129130655821047,0.5,0.0258261311642095,2.58407777193904,127
"{root vegetables,yogurt} => {whole milk}",0.0145399084900864,0.562992125984252,0.0258261311642095,2.20335358498015,143
"{root vegetables,rolls/buns} => {other vegetables}",0.0122013218098627,0.502092050209205,0.0243009659379766,2.59488981282582,120
"{root vegetables,rolls/buns} => {whole milk}",0.012709710218607,0.523012552301255,0.0243009659379766,2.04688756541299,125
"{other vegetables,yogurt} => {whole milk}",0.0222674123029995,0.51288056206089,0.0434163701067616,2.00723451168677,219
